Dataset,Column,Pandas Datatype,Business Datatype,Nullable,Missing %,Unique %,Primary Key Candidate,Sample Values,Description,Source File,Rows,Columns,Mean,Median,Mode
customers_dataset,customer_id,str,Primary Key,No,0.0,100.0,Yes,"['06b8999e2fba1a1fbc88172c00ba8bc7', '18955e83d337fd6b2def6b18a428ac77', '4e7b3e00288586ebd08712fdd0374a03', 'b2b6027bc5c5109e529d4dc6358b12c3', '4f2d8ab171c80ec8364f7c12e35b23ad']",,NexaCart_Data.xlsx,99441,5,,,00012a2ce6f8dcda20d059ce98491703
customers_dataset,customer_unique_id,str,Identifier,No,0.0,96.64,Yes,"['861eff4711a542e4b93843c6dd7febb0', '290c77bc529b7ac935b93aa66c333dc3', '060e732b5b29e8181a18229c7b0b2b5e', '259dac757896d24d7702b9acbbff3f3c', '345ecd01c38d18a9036ed96c73b8d066']",,NexaCart_Data.xlsx,99441,5,,,8d50f5eadf50201ccdcedfb9e2ac8455
customers_dataset,customer_zip_code_prefix,int64,Postal Code,No,0.0,15.08,Yes,"[14409, 9790, 1151, 8775, 13056]",,NexaCart_Data.xlsx,99441,5,35137.4746,24416.0,
customers_dataset,customer_city,str,City,No,0.0,4.14,No,"['franca', 'sao bernardo do campo', 'sao paulo', 'mogi das cruzes', 'campinas']",,NexaCart_Data.xlsx,99441,5,,,sao paulo
customers_dataset,customer_state,str,State,No,0.0,0.03,No,"['SP', 'SP', 'SP', 'SP', 'SP']",,NexaCart_Data.xlsx,99441,5,,,SP
geolocation_dataset,geolocation_zip_code_prefix,int64,Postal Code,No,0.0,1.9,Yes,"[1037, 1046, 1046, 1041, 1035]",,NexaCart_Data.xlsx,1000163,5,36574.1665,26530.0,
geolocation_dataset,geolocation_lat,float64,Latitude,No,0.0,71.73,No,"[-23.54562128115268, -23.546081127035535, -23.54612896641469, -23.5443921648681, -23.541577961711493]",,NexaCart_Data.xlsx,1000163,5,-21.1762,-22.9194,
geolocation_dataset,geolocation_lng,float64,Longitude,No,0.0,71.75,No,"[-46.63929204800168, -46.64482029837157, -46.64295148361138, -46.63949930627844, -46.64160722329613]",,NexaCart_Data.xlsx,1000163,5,-46.3905,-46.6379,
geolocation_dataset,geolocation_city,str,City,No,0.0,0.8,No,"['sao paulo', 'sao paulo', 'sao paulo', 'sao paulo', 'sao paulo']",,NexaCart_Data.xlsx,1000163,5,,,sao paulo
geolocation_dataset,geolocation_state,str,State,No,0.0,0.0,No,"['SP', 'SP', 'SP', 'SP', 'SP']",,NexaCart_Data.xlsx,1000163,5,,,SP
order_items_dataset,order_id,str,Foreign Key,No,0.0,87.59,Yes,"['00010242fe8c5a6d1ba2dd792cb16214', '00018f77f2f0320c557190d7a144bdd3', '000229ec398224ef6ca0657da4fc703e', '00024acbcdf0a6daa1e931b038114c75', '00042b26cf59d7ce69dfabb4e55b4fd9']",,NexaCart_Data.xlsx,112650,7,,,8272b63d03f5f79c56e9e4120aec44ef
order_items_dataset,order_item_id,int64,Identifier,No,0.0,0.02,Yes,"[1, 1, 1, 1, 1]",,NexaCart_Data.xlsx,112650,7,1.1978,1.0,
order_items_dataset,product_id,str,Foreign Key,No,0.0,29.25,Yes,"['4244733e06e7ecb4970a6e2683c13e61', 'e5f2d52b802189ee658865ca93d83a8f', 'c777355d18b72b67abbeef9df44fd0fd', '7634da152a4610f1595efa32f14722fc', 'ac6c3623068f30de03045865e4e10089']",,NexaCart_Data.xlsx,112650,7,,,aca2eb7d00ea1a7b8ebd4e68314663af
